date,city,product,quantity,price_rub
2026-05-03,Москва,Чай зелёный,12,350
2026-05-04,Санкт-Петербург,Кофе зерновой,7,1200
2026-05-05,Москва,Кофе зерновой,15,1200
2026-05-06,Казань,Чай зелёный,4,350
2026-05-07,Москва,Шоколад тёмный,20,240
2026-05-08,Новосибирск,Кофе зерновой,3,1200
2026-05-09,Санкт-Петербург,Чай зелёный,9,350
2026-05-10,Казань,Шоколад тёмный,11,240
2026-05-11,Москва,Кофе зерновой,18,1150
2026-05-12,Новосибирск,Чай зелёный,6,350
2026-05-13,Санкт-Петербург,Шоколад тёмный,14,240
2026-05-14,Москва,Чай зелёный,10,360
